Average,BYTE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:YEAR_MONTH;DAY_TIME:DECIMAL:DOUBLE:YEAR_MONTH
XxHash64,ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;LONG
ExtractIntervalYears,CALENDAR;INTEGER
ExtractIntervalMonths,CALENDAR;BYTE
ExtractIntervalDays,CALENDAR;INTEGER
ExtractIntervalHours,CALENDAR;BYTE
ExtractIntervalMinutes,CALENDAR;BYTE
ExtractIntervalSeconds,CALENDAR;DECIMAL
MultiplyInterval,CALENDAR;DOUBLE;CALENDAR
DivideInterval,CALENDAR;DOUBLE;CALENDAR
MakeInterval,INTEGER;INTEGER;INTEGER;INTEGER;INTEGER;INTEGER;DECIMAL;CALENDAR
CreateMap,ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;MAP
GetMapValue,MAP;ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH
EulerNumber,DOUBLE
Pi,DOUBLE
Acos,DOUBLE;DOUBLE
Acosh,DOUBLE;DOUBLE
Asin,DOUBLE;DOUBLE
Atan,DOUBLE;DOUBLE
Ceil,DECIMAL:DOUBLE:LONG;DECIMAL:LONG
Cos,DOUBLE;DOUBLE
Cosh,DOUBLE;DOUBLE
Conv,STRING;INTEGER;INTEGER;STRING
Exp,DOUBLE;DOUBLE
Expm1,DOUBLE;DOUBLE
Floor,DECIMAL:DOUBLE:LONG;DECIMAL:LONG
Factorial,INTEGER;LONG
Log,DOUBLE;DOUBLE
Log2,DOUBLE;DOUBLE
Log10,DOUBLE;DOUBLE
Log1p,DOUBLE;DOUBLE
Rint,DOUBLE;DOUBLE
Signum,DAY_TIME:DOUBLE:YEAR_MONTH;DOUBLE
Sin,DOUBLE;DOUBLE
Sinh,DOUBLE;DOUBLE
Asinh,DOUBLE;DOUBLE
Cbrt,DOUBLE;DOUBLE
Sqrt,DOUBLE;DOUBLE
Cot,DOUBLE;DOUBLE
Tan,DOUBLE;DOUBLE
Tanh,DOUBLE;DOUBLE
Atanh,DOUBLE;DOUBLE
ToDegrees,DOUBLE;DOUBLE
ToRadians,DOUBLE;DOUBLE
Bin,LONG;STRING
Hex,BINARY:LONG:STRING;STRING
Unhex,STRING;BINARY
Atan2,DOUBLE;DOUBLE;DOUBLE
Pow,DOUBLE;DOUBLE;DOUBLE
ShiftLeft,INTEGER:LONG;INTEGER;INTEGER:LONG
ShiftRight,INTEGER:LONG;INTEGER;INTEGER:LONG
ShiftRightUnsigned,INTEGER:LONG;INTEGER;INTEGER:LONG
Hypot,DOUBLE;DOUBLE;DOUBLE
Logarithm,DOUBLE;DOUBLE;DOUBLE
Round,BYTE:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT;INTEGER;BYTE:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT
BRound,BYTE:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT;INTEGER;BYTE:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT
NormalizeNaNAndZero,DOUBLE:FLOAT;DOUBLE:FLOAT
WidthBucket,DAY_TIME:DOUBLE:YEAR_MONTH;DAY_TIME:DOUBLE:YEAR_MONTH;DAY_TIME:DOUBLE:YEAR_MONTH;LONG;LONG
SparkVersion,STRING
SparkPartitionID,INTEGER
Uuid,STRING
Rand,DOUBLE
Randn,DOUBLE
MonotonicallyIncreasingID,LONG
Coalesce,ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH
IsNaN,DOUBLE:FLOAT;BOOLEAN
NaNvl,DOUBLE:FLOAT;DOUBLE:FLOAT;DOUBLE:FLOAT
IsNull,ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;BOOLEAN
IsNotNull,ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;BOOLEAN
AtLeastNNonNulls,ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;BOOLEAN
SortOrder,BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:TIMESTAMP:YEAR_MONTH;BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:TIMESTAMP:YEAR_MONTH;BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:TIMESTAMP:YEAR_MONTH
Least,BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:TIMESTAMP:YEAR_MONTH;BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:TIMESTAMP:YEAR_MONTH
